pickup_hour,rides_count,avg_fare,total_revenue,avg_distance,avg_passengers
0,6979,9.47,66056.73,2.99,1.76
1,5265,9.56,50329.5,3.11,1.76
2,3964,9.43,37390.56,3.08,1.77
3,2898,9.6,27819.8,3.2,1.8
4,1941,9.89,19195.66,3.41,1.71
5,1475,8.82,13006.16,3.03,1.58
6,3540,8.21,29074.97,2.73,1.5
7,6457,8.57,55334.93,2.58,1.52
8,8227,8.84,72742.46,2.36,1.59
9,8423,8.86,74608.27,2.27,1.58
10,8045,8.76,70489.54,2.28,1.64
11,8406,8.8,73949.51,2.23,1.66
12,8901,8.9,79220.43,2.22,1.69
13,8876,8.77,77865.63,2.21,1.67
14,8551,8.85,75663.47,2.24,1.68
15,8432,8.81,74270.13,2.24,1.7
16,7204,8.55,61607.84,2.25,1.7
17,8617,8.84,76187.07,2.34,1.68
18,10912,8.92,97330.04,2.37,1.72
19,11548,8.87,102399.02,2.43,1.71
20,10659,8.87,94569.63,2.59,1.72
21,10348,9.0,93173.83,2.72,1.73
22,9899,9.23,91330.96,2.82,1.73
23,8700,9.28,80743.98,2.84,1.77
